name,literature,aim,expected_outcome,run_dir,base_mse_path,llm_mse_path,delta_vs_tsm,h5_delta,h20_delta,h30_delta,nonzero_count,abs_mean_delta,mean_delta,unique_apply_responses,apply_samples_used
least_to_most_pot,Least-to-Most + Program of Thoughts,Combine sequential horizon reasoning with a stricter numeric apply-stage contract.,Could preserve h5/h20 gains while preventing noisy h30 moves; target roughly 22.50-22.57.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_025246_3f76b2,22.72635269165039,22.41853024357303,-0.3078224480773599,0.007464246914453909,-0.6526006512462779,-0.39334587116321984,3639,0.08329877313384965,0.04952128045153402,62,1
least_to_most,Least-to-Most / Zhou et al. 2022,Force the reflection step to decide horizons sequentially so h30 cannot drift without earlier-horizon support.,Should help if residual error still comes from horizon coupling; target roughly 22.54-22.60.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_013846_60ed02,22.72635269165039,22.440286178192892,-0.2860665134574987,0.013706440548920895,-0.598845900441102,-0.3885253733938683,3638,0.07820390781298023,0.04547840587181744,57,1
active_prompt_recent_high_error,Active-Prompt / Diao et al. 2023,Bias teaching examples toward recent high-error UK cases where the base TSM is least reliable.,Could help if recent hard regimes matter more than broad average cases; target roughly 22.56-22.62.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_012641_901205,22.72635269165039,22.48905110252232,-0.23730158912806942,0.02622503838259327,-0.35300975281590397,-0.6011140526867891,3263,0.0627106311830684,0.0316210367518212,66,1
self_consistency_k3,Self-Consistency / Wang et al. 2022,Sample multiple apply-stage adjustment paths and aggregate them by median to reduce unstable numeric outputs.,Highest upside among single-change variants if apply noise is still material; target roughly 22.50-22.58.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_023811_5a4f16,22.72635269165039,22.50384566029368,-0.22250703135670946,-0.03568988363709824,-0.3112079138312289,-0.6160847476655533,2809,0.04218145579333732,0.01198835188659402,84,3
program_of_thought_apply,Program of Thoughts / Chen et al. 2022,Make the apply stage behave more like bounded numeric computation than free-form adjustment writing.,Could reduce apply-stage numeric noise and improve h20/h30; target roughly 22.53-22.59.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_020227_41d0c5,22.72635269165039,22.509310636986044,-0.217042054664347,-0.05502159948937102,-0.30246682275372905,-0.5394543502753635,2802,0.041612881863995206,0.011447017074833055,65,1
hybrid_memory_sc,Reflexion + Harmonized CoT + Self-Consistency,"Combine persistent failure memory, dominant-pattern reflection, and median aggregation of multiple apply samples.",Best upside but also highest risk of over-constraining the model; target roughly 22.47-22.56.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_030448_1e8b9f,22.72635269165039,22.510896343841956,-0.21545634780843415,-0.09979403303867596,-0.42759698056026707,-2.9142297037765275e-06,3248,0.06153700826811129,0.05350898936658658,71,3
harmonized_reasoning,Self-Harmonized CoT / Fu et al. 2024,Force the model to harmonize matched examples into one dominant pattern instead of chasing example-specific noise.,Could help if the reflection stage is too sensitive to outliers; target roughly 22.54-22.60.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_022624_ef3d38,22.72635269165039,22.51780780500911,-0.20854488664128112,-0.010667870161343629,-0.2884010527397187,-0.5323939874129877,3078,0.04562158114427597,0.024484943395693102,62,1
plan_and_solve,Plan-and-Solve / Wang et al. 2023,Make reflection plan first and only then emit structured horizon decisions.,Could stabilize structured guidance if the model benefits from an explicit plan phase; target roughly 22.55-22.61.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_015046_6386dc,22.72635269165039,22.51854347477025,-0.20780921688013976,-0.029064630528186086,-0.35234373858006407,-0.4382978452568125,2302,0.030318961745676144,0.016834186188187602,41,1
auto_cot_error_stratified,Auto-CoT / Zhang et al. 2022,Broaden the teaching set to cover diverse historical error modes instead of mostly similar cases.,Could improve h20/h30 if the current prompt is overfitting to a narrow case family; target roughly 22.55-22.61.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_011352_39ba87,22.72635269165039,22.528368879983155,-0.19798381166723544,-0.003921408360138656,-0.2980128479523749,-0.4543173734187391,2645,0.04160221699461742,0.025782539575655523,49,1
reflexion_memory,Reflexion / Shinn et al. 2023,Inject persistent UK-specific failure memory so the model avoids repeating known bad long-horizon behaviors.,Could trim repeated h30 mistakes if the model responds to explicit memory; target roughly 22.54-22.60.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_021430_fa9326,22.72635269165039,22.569588041727425,-0.15676464992296602,-0.057479587693898715,-0.2856064362521735,-2.9142297037765275e-06,3328,0.059998945062336426,0.05291269108848742,32,1
