name,change_summary,aim,literature_basis,expected_low,expected_high,expectation_result,run_dir,base_mse_path,llm_mse_path,delta_vs_tsm,delta_vs_checkpoint_llm,h5_delta_vs_tsm,h20_delta_vs_tsm,h30_delta_vs_tsm,h5_delta_vs_checkpoint,h20_delta_vs_checkpoint,h30_delta_vs_checkpoint,nonzero_count,abs_mean_delta,mean_delta
control_recent_high_error_k4,Re-run the current 4B winner unchanged as a control.,Verify the new structural code path reproduces the current checkpoint before changing evidence policy.,Control,22.14,22.24,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_034231_385a35,22.72635269165039,22.165978546161796,-0.5603741454885949,-0.03212721798711726,0.027693691763479578,-0.9486572015625683,-1.312018017342183,0.0012800312368792532,-0.016756727276913352,-0.12022519702355083,3723,0.10890890936014744,0.05445626422380872
recent_long_error_k4,Replace path-MSE retrieval with recent long-horizon error retrieval centered on h20/h30.,Bias the demo bank toward the horizons where the 4B LLM actually adds value.,Time-series LLM papers emphasize horizon/task alignment more than generic ICL breadth.,22.02,22.14,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_035448_ff5c47,22.72635269165039,22.280864049712115,-0.445488641938276,0.08275828556320164,0.03953069641379248,-0.831052591905209,-0.8659248054702005,0.013117035887192152,0.10084788238044595,0.32586801484843164,3716,0.11387238049270855,0.06444014944687965
recent_consistent_long_error_k4,Keep only recent long-horizon cases whose h20 and h30 error signs agree.,Remove mixed-tail demonstrations that teach contradictory long-horizon corrections.,Comparable demonstration work argues that conflicting examples degrade small-model in-context learning.,21.98,22.12,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_040700_0b9ab9,22.72635269165039,22.27772649561398,-0.4486261960364111,0.07962073146506654,0.037602419832669653,-0.8382091827624372,-0.8713715331988325,0.011188759306069329,0.09369129152321776,0.32042128711979956,3744,0.11395371242092636,0.06452148137509747
balanced_long_horizon_k4,Split the evidence set between h20-heavy and h30-heavy mistakes.,Avoid letting one long horizon dominate the entire teaching set.,Demonstration-selection literature repeatedly finds coverage and diversity help more than raw score ranking alone.,22.0,22.15,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_041914_925929,22.72635269165039,22.278441296611387,-0.4479113950390037,0.08033553246247394,0.00899396220347004,-0.7459764567289149,-0.8565493477964949,-0.017419698323130284,0.18592401755674004,0.33524347252213715,3798,0.11198636193322457,0.08030904750659057
prototype_recent_long_error_k4,Take prototypes from the top recent long-error pool instead of the top few ranked examples directly.,Reduce redundant demonstrations and improve coverage of distinct correction patterns.,Active-example and retrieval papers show redundancy reduction is important in small-context ICL.,22.05,22.18,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_043128_710c72,22.72635269165039,22.35848614216604,-0.3678665494843507,0.1603803780171269,0.05525778198924236,-0.6555105230061891,-0.7008661578048887,0.028844121462642036,0.27638995127946586,0.4909266625137434,3755,0.11026523777687891,0.07275356942197328
skill_tag_recent_high_error_k4,Filter recent hard examples through coarse regime-skill tags before ranking them.,"Retrieve demonstrations that match the same market regime, not just the same error magnitude.",Skill-KNN suggests abstract skill matching beats surface-level similarity for few-shot selection.,22.04,22.18,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_044359_f1fe67,22.72635269165039,22.13251345481036,-0.5938392368400294,-0.06559230933855176,0.026168413171498095,-1.0012174408974346,-1.3232618176358812,-0.0002452473551022294,-0.06931696661177966,-0.13146899731724915,3463,0.10575937569417988,0.05610798180715459
feedback_recent_high_error_k4,Add explicit hindsight feedback sentences to each recent high-error teaching example.,Convert raw historical mistakes into short natural-language lessons the 4B model can reuse more easily.,Chain of Hindsight shows compact feedback can outperform raw trajectories alone.,21.98,22.12,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_045606_c3f654,22.72635269165039,21.999590651935744,-0.7267620397146466,-0.19851511221316898,0.008815120145898803,-1.1107368832110502,-1.9330695152540827,-0.01759854038070152,-0.17883640892539532,-0.7412766949354506,3827,0.14157649131047595,0.08218870154186252
support_plus_freeze_counterexample_k4,Augment recent high-error support examples with one similar low-error freeze counterexample.,Teach the 4B model both when to correct and when not to create tail drift.,Supportive/comparable demonstration work argues explicit counterexamples sharpen decision boundaries.,21.96,22.1,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_050824_851cf1,22.72635269165039,22.009833362352044,-0.7165193292983467,-0.1882724017968691,-0.020943764696288447,-1.2098482212944823,-1.597466015709898,-0.04735742522288877,-0.2779477470088274,-0.405673195391266,3718,0.11364540863284268,0.052906582515385984
ridge_context_recent_high_error_k4,Keep recent high-error retrieval but show the ridge forecast deltas as a teacher signal in the examples and current case.,Let the LLM see what a stronger non-LLM forecaster would do without changing the base TSM path directly.,Teacher/distillation literature for small models suggests auxiliary teacher signals help more than added prompt complexity.,21.92,22.08,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_052046_686bb9,22.72635269165039,22.615683055504633,-0.11066963614575798,0.41757729135571964,0.009237999550255616,-0.1404603050310449,-0.27095389744405196,-0.01717566097634471,0.79144016925461,0.9208389228745801,3958,0.14594300439601238,0.11599590676174401
ridge_gain_selection_k4,"Retrieve examples where the ridge teacher most improved on the long horizon, and show teacher summaries.",Prioritize demonstrations whose correction pattern is both difficult and actually recoverable by a stronger model.,"Active example selection favors demonstrations with the highest expected utility, not the largest raw loss alone.",21.88,22.06,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_053410_a25f97,22.72635269165039,22.677760426010934,-0.0485922656394564,0.4796546618620212,-0.002481618487520265,-0.0141596977024534,-0.1127380734615997,-0.02889527901412059,0.9177407765832015,1.0790547468570324,4068,0.1454346071308104,0.12157104317097646
